utcDate,status,homeTeam,awayTeam
2027-02-21T00:00:00Z,SCHEDULED,FC Alverca,CD Nacional
2027-02-28T00:00:00Z,SCHEDULED,Rio Ave FC,FC Alverca
2027-02-28T00:00:00Z,SCHEDULED,CS Marítimo,Gil Vicente FC
2027-02-28T00:00:00Z,SCHEDULED,Casa Pia AC,GD Estoril Praia
2027-02-28T00:00:00Z,SCHEDULED,Moreirense FC,Vitória SC
2027-02-28T00:00:00Z,SCHEDULED,Sport Lisboa e Benfica,FC Porto
2027-02-28T00:00:00Z,SCHEDULED,FC Famalicão,CD Nacional
2027-02-28T00:00:00Z,SCHEDULED,Sporting Clube de Braga,CD Santa Clara
2027-02-28T00:00:00Z,SCHEDULED,FC Arouca,Sporting Clube de Portugal
2027-02-28T00:00:00Z,SCHEDULED,Académico de Viseu FC,CF Estrela da Amadora
2027-03-07T00:00:00Z,SCHEDULED,Gil Vicente FC,Moreirense FC
2027-03-07T00:00:00Z,SCHEDULED,FC Porto,CS Marítimo
2027-03-07T00:00:00Z,SCHEDULED,FC Alverca,FC Famalicão
2027-03-07T00:00:00Z,SCHEDULED,CD Santa Clara,Casa Pia AC
2027-03-07T00:00:00Z,SCHEDULED,Sporting Clube de Portugal,Sporting Clube de Braga
2027-03-07T00:00:00Z,SCHEDULED,CF Estrela da Amadora,FC Arouca
2027-03-07T00:00:00Z,SCHEDULED,Vitória SC,Sport Lisboa e Benfica
2027-03-07T00:00:00Z,SCHEDULED,CD Nacional,Rio Ave FC
2027-03-07T00:00:00Z,SCHEDULED,GD Estoril Praia,Académico de Viseu FC
2027-03-14T00:00:00Z,SCHEDULED,CS Marítimo,Vitória SC
2027-03-14T00:00:00Z,SCHEDULED,Sport Lisboa e Benfica,CD Santa Clara
2027-03-14T00:00:00Z,SCHEDULED,FC Arouca,FC Alverca
2027-03-14T00:00:00Z,SCHEDULED,Académico de Viseu FC,Sporting Clube de Portugal
2027-03-14T00:00:00Z,SCHEDULED,FC Porto,Gil Vicente FC
2027-03-14T00:00:00Z,SCHEDULED,Casa Pia AC,CF Estrela da Amadora
2027-03-14T00:00:00Z,SCHEDULED,Sporting Clube de Braga,CD Nacional
2027-03-14T00:00:00Z,SCHEDULED,FC Famalicão,Rio Ave FC
2027-03-14T00:00:00Z,SCHEDULED,Moreirense FC,GD Estoril Praia
2027-03-21T00:00:00Z,SCHEDULED,CD Nacional,FC Arouca
2027-03-21T00:00:00Z,SCHEDULED,Vitória SC,Gil Vicente FC
2027-03-21T00:00:00Z,SCHEDULED,CF Estrela da Amadora,Moreirense FC
2027-03-21T00:00:00Z,SCHEDULED,FC Alverca,Sport Lisboa e Benfica
2027-03-21T00:00:00Z,SCHEDULED,GD Estoril Praia,FC Porto
2027-03-21T00:00:00Z,SCHEDULED,CD Santa Clara,CS Marítimo
2027-03-21T00:00:00Z,SCHEDULED,Sporting Clube de Portugal,Casa Pia AC
2027-03-21T00:00:00Z,SCHEDULED,Rio Ave FC,Académico de Viseu FC
2027-03-21T00:00:00Z,SCHEDULED,FC Famalicão,Sporting Clube de Braga
2027-04-04T00:00:00Z,SCHEDULED,FC Arouca,FC Famalicão
2027-04-04T00:00:00Z,SCHEDULED,Gil Vicente FC,CD Santa Clara
2027-04-04T00:00:00Z,SCHEDULED,Casa Pia AC,FC Alverca
2027-04-04T00:00:00Z,SCHEDULED,Moreirense FC,Sporting Clube de Portugal
2027-04-04T00:00:00Z,SCHEDULED,Académico de Viseu FC,CD Nacional
2027-04-04T00:00:00Z,SCHEDULED,Sporting Clube de Braga,Rio Ave FC
2027-04-04T00:00:00Z,SCHEDULED,CS Marítimo,GD Estoril Praia
2027-04-04T00:00:00Z,SCHEDULED,FC Porto,Vitória SC
2027-04-04T00:00:00Z,SCHEDULED,Sport Lisboa e Benfica,CF Estrela da Amadora
2027-04-11T00:00:00Z,SCHEDULED,Sporting Clube de Portugal,FC Porto
2027-04-11T00:00:00Z,SCHEDULED,FC Famalicão,Sport Lisboa e Benfica
2027-04-11T00:00:00Z,SCHEDULED,CD Nacional,CS Marítimo
2027-04-11T00:00:00Z,SCHEDULED,CD Santa Clara,Moreirense FC
2027-04-11T00:00:00Z,SCHEDULED,Rio Ave FC,FC Arouca
2027-04-11T00:00:00Z,SCHEDULED,Sporting Clube de Braga,Casa Pia AC
2027-04-11T00:00:00Z,SCHEDULED,FC Alverca,Académico de Viseu FC
2027-04-11T00:00:00Z,SCHEDULED,CF Estrela da Amadora,Vitória SC
2027-04-11T00:00:00Z,SCHEDULED,GD Estoril Praia,Gil Vicente FC
2027-04-18T00:00:00Z,SCHEDULED,Sport Lisboa e Benfica,CD Nacional
2027-04-18T00:00:00Z,SCHEDULED,FC Porto,CD Santa Clara
2027-04-18T00:00:00Z,SCHEDULED,CS Marítimo,Sporting Clube de Portugal
2027-04-18T00:00:00Z,SCHEDULED,Moreirense FC,FC Alverca
2027-04-18T00:00:00Z,SCHEDULED,Académico de Viseu FC,FC Famalicão
2027-04-18T00:00:00Z,SCHEDULED,Vitória SC,GD Estoril Praia
2027-04-18T00:00:00Z,SCHEDULED,Casa Pia AC,Rio Ave FC
2027-04-18T00:00:00Z,SCHEDULED,Gil Vicente FC,CF Estrela da Amadora
2027-04-18T00:00:00Z,SCHEDULED,FC Arouca,Sporting Clube de Braga
2027-04-25T00:00:00Z,SCHEDULED,FC Alverca,Vitória SC
2027-04-25T00:00:00Z,SCHEDULED,Rio Ave FC,CS Marítimo
2027-04-25T00:00:00Z,SCHEDULED,CD Nacional,Casa Pia AC
2027-04-25T00:00:00Z,SCHEDULED,CF Estrela da Amadora,FC Porto
2027-04-25T00:00:00Z,SCHEDULED,Sporting Clube de Portugal,Gil Vicente FC
2027-04-25T00:00:00Z,SCHEDULED,Sporting Clube de Braga,Sport Lisboa e Benfica
2027-04-25T00:00:00Z,SCHEDULED,CD Santa Clara,GD Estoril Praia
2027-04-25T00:00:00Z,SCHEDULED,FC Arouca,Académico de Viseu FC
2027-04-25T00:00:00Z,SCHEDULED,FC Famalicão,Moreirense FC
2027-05-02T00:00:00Z,SCHEDULED,Gil Vicente FC,FC Alverca
2027-05-02T00:00:00Z,SCHEDULED,Vitória SC,CD Santa Clara
2027-05-02T00:00:00Z,SCHEDULED,GD Estoril Praia,Sporting Clube de Portugal
2027-05-02T00:00:00Z,SCHEDULED,FC Porto,FC Famalicão
2027-05-02T00:00:00Z,SCHEDULED,Moreirense FC,CD Nacional
2027-05-02T00:00:00Z,SCHEDULED,Casa Pia AC,FC Arouca
2027-05-02T00:00:00Z,SCHEDULED,Académico de Viseu FC,Sporting Clube de Braga
2027-05-02T00:00:00Z,SCHEDULED,CS Marítimo,CF Estrela da Amadora
2027-05-02T00:00:00Z,SCHEDULED,Sport Lisboa e Benfica,Rio Ave FC
2027-05-09T00:00:00Z,SCHEDULED,Sporting Clube de Portugal,Sport Lisboa e Benfica
2027-05-09T00:00:00Z,SCHEDULED,CF Estrela da Amadora,CD Santa Clara
2027-05-09T00:00:00Z,SCHEDULED,Rio Ave FC,Vitória SC
2027-05-09T00:00:00Z,SCHEDULED,Académico de Viseu FC,Moreirense FC
2027-05-09T00:00:00Z,SCHEDULED,FC Famalicão,Casa Pia AC
2027-05-09T00:00:00Z,SCHEDULED,Sporting Clube de Braga,CS Marítimo
2027-05-09T00:00:00Z,SCHEDULED,FC Alverca,GD Estoril Praia
2027-05-09T00:00:00Z,SCHEDULED,FC Arouca,Gil Vicente FC
2027-05-09T00:00:00Z,SCHEDULED,CD Nacional,FC Porto
2027-05-16T00:00:00Z,SCHEDULED,CS Marítimo,FC Alverca
2027-05-16T00:00:00Z,SCHEDULED,Gil Vicente FC,CD Nacional
2027-05-16T00:00:00Z,SCHEDULED,Sport Lisboa e Benfica,FC Arouca
2027-05-16T00:00:00Z,SCHEDULED,GD Estoril Praia,CF Estrela da Amadora
2027-05-16T00:00:00Z,SCHEDULED,FC Porto,Sporting Clube de Braga
2027-05-16T00:00:00Z,SCHEDULED,Casa Pia AC,Académico de Viseu FC
2027-05-16T00:00:00Z,SCHEDULED,Vitória SC,FC Famalicão
2027-05-16T00:00:00Z,SCHEDULED,CD Santa Clara,Sporting Clube de Portugal
2027-05-16T00:00:00Z,SCHEDULED,Moreirense FC,Rio Ave FC
